observed_local,observed_iso,azimuth_deg,altitude_deg,source
2026-09-18 18:27,2026-09-19T00:27:00.000Z,266.5,7.3,gone
2026-09-14 18:35,2026-09-15T00:35:00.000Z,268.8,7,gone
2026-09-10 18:40,2026-09-11T00:40:00.000Z,270.5,7.3,gone
2026-08-23 19:35,2026-08-24T01:35:00.000Z,283.3,2.1,gone
2026-06-27 20:00,2026-06-28T02:00:00.000Z,296.2,5.2,gone
